,Name,Location,Company Size,Company Type
251,Axis My India,Mumbai,"Company size
501-1000 employees","Industry
KPO/Research"
252,Beroe Incorporation,Chennai,"Company size
501-1000 employees","Industry
KPO/Research"
253,Medico Healthcare Services & Technologies,Hyderabad,"Company size
501-1000 employees","Industry
KPO/Research"
254,SandMartin,Noida,"Company size
501-1000 employees","Industry
KPO/Research"
255,Viaante Business Solution Private Limited,Mumbai,"Company size
501-1000 employees","Industry
KPO/Research"
256,Artify,Pune,"Company size
501-1000 employees","Industry
KPO/Research"
257,Azure Knowledge Corporation,Ahmedabad,"Company size
501-1000 employees","Industry
KPO/Research"
258,ASA & Associates LLP,Gurgaon,"Company size
501-1000 employees","Industry
KPO/Research"
259,Decimal Point Analytics Private Limited,Nashik,"Company size
501-1000 employees","Industry
KPO/Research"
260,Hansa Research Group Private Limited,Mumbai,"Company size
501-1000 employees","Industry
KPO/Research"
261,360 Research Foundation,Narkatiaganj,"Company size
501-1000 employees","Industry
KPO/Research"
262,Market Xcel Data Matrix Private Limited,Delhi,"Company size
501-1000 employees","Industry
KPO/Research"
263,FutureBridge,Navi Mumbai,"Company size
501-1000 employees","Industry
KPO/Research"
264,ICRA Analytics Limited,Kolkata,"Company size
501-1000 employees","Industry
KPO/Research"
265,TERI,Delhi,"Company size
501-1000 employees","Industry
KPO/Research"
266,Kailasa Analytics And Services Private Limited,Mumbai,"Company size
501-1000 employees","Industry
KPO/Research"
267,Coresearch,Mumbai,"Company size
501-1000 employees","Industry
KPO/Research"
268,Worxpertise,Gurgaon,"Company size
501-1000 employees","Industry
KPO/Research"
269,Paysquare,Pune,"Company size
501-1000 employees","Industry
KPO/Research"
270,Scymes Services Private Limited,Mumbai,"Company size
501-1000 employees","Industry
KPO/Research"
271,Mist It Services Pvt Ltd,Delhi,"Company size
501-1000 employees","Industry
KPO/Research"
272,SCYO Decisions,Chennai,"Company size
501-1000 employees","Industry
KPO/Research"
273,MIST IT Services Private Limited,Navi Mumbai,"Company size
501-1000 employees","Industry
KPO/Research"
274,EqualizerRCM Services,Mysuru,"Company size
501-1000 employees","Industry
KPO/Research"
275,Indian Institute Of Astrophysics,Bangalore,"Company size
201-500 employees","Industry
KPO/Research"
276,J-PAL South Asia,Delhi,"Company size
201-500 employees","Industry
KPO/Research"
277,IBN Technologies Limited,Pune,"Company size
201-500 employees","Industry
KPO/Research"
278,National Institute Of Urban Affairs,Gurgaon,"Company size
201-500 employees","Industry
KPO/Research"
279,HiveMinds Innovative Market Solutions Private Limited,Mumbai,"Company size
201-500 employees","Industry
KPO/Research"
280,Grand View Research,Pune,"Company size
201-500 employees","Industry
KPO/Research"
281,RichFeel,Mumbai,"Company size
201-500 employees","Industry
KPO/Research"
282,Mas Callnet India Private Limited,Noida,"Company size
201-500 employees","Industry
KPO/Research"
283,Envirocare Labs Private Limited,Thane,"Company size
201-500 employees","Industry
KPO/Research"
284,Sagacious Research Private Limited,Nagpur,"Company size
201-500 employees","Industry
KPO/Research"
285,Data Bridge Market Research,Pune,"Company size
201-500 employees","Industry
KPO/Research"
286,Indiannica Learning Private Limited,Delhi,"Company size
201-500 employees","Industry
KPO/Research"
287,The Insight Partners,Pune,"Company size
201-500 employees","Industry
KPO/Research"
288,Aranca (Mumbai) Private Limited,Mumbai,"Company size
201-500 employees","Industry
KPO/Research"
289,Absolute Reports,Pune,"Company size
201-500 employees","Industry
KPO/Research"
290,IMARC Services Private Limited,Noida,"Company size
201-500 employees","Industry
KPO/Research"
291,Coherent Market Insights Private Limited,Pune,"Company size
201-500 employees","Industry
KPO/Research"
292,A Plan By Consultants,Delhi,"Company size
201-500 employees","Industry
KPO/Research"
293,Learning Routes Private Limited,Gurgaon,"Company size
201-500 employees","Industry
KPO/Research"
294,Fortune Business Insight Private Limited,Pune,"Company size
201-500 employees","Industry
KPO/Research"
295,The Energy And Resources Institute (TERI),Delhi,"Company size
201-500 employees","Industry
KPO/Research"
296,Future Market Insights,Pune,"Company size
201-500 employees","Industry
KPO/Research"
297,Nath Outsourcing Solutions Private Limited,Mohali,"Company size
201-500 employees","Industry
KPO/Research"
298,Value Research,Noida,"Company size
201-500 employees","Industry
KPO/Research"
299,C-Quel Management Services Private Limited,Kolkata,"Company size
201-500 employees","Industry
KPO/Research"
300,IMARC,Delhi,"Company size
201-500 employees","Industry
KPO/Research"
